id,title,kcal,protein,fat,carb,meals,tier
a00,Без добавки,0,0.0,0.0,0.0,"breakfast,lunch,dinner,snack",base
a01,"Ломтик цельнозернового хлеба, 40 г",92,3.6,1.2,15.6,"breakfast,lunch,dinner",base
a02,"Греческий йогурт 2%, 100 г",73,9.0,2.0,4.7,"breakfast,snack",base
a03,"Банан, 1 шт. (120 г)",107,1.3,0.4,24.0,"breakfast,snack",base
a04,"Отварной картофель, 150 г",116,3.0,0.6,24.5,"lunch,dinner",base
a05,"Отварная гречка, 150 г (50 г сухой)",165,6.3,1.7,31.1,"lunch,dinner",base
a06,"Хлеб с маслом, 60 г + 8 г",198,5.4,8.4,23.4,"breakfast,lunch,dinner",high
a07,"Отварной рис, 250 г (85 г сухого)",292,5.7,0.6,67.1,"lunch,dinner",high
a08,"Отварная паста, 250 г (85 г сухой)",298,10.2,1.3,59.5,"lunch,dinner",high
a09,"Картофель запечённый, 300 г",231,6.0,1.2,48.9,"lunch,dinner",high
a10,"Овсянка на молоке, 60 г сухих + 200 мл",317,12.9,9.3,45.1,breakfast,high
a11,"Банан с ореховой пастой, 120 г + 20 г",227,6.3,10.4,26.0,"breakfast,snack",high
