id,collection,title,meals,kcal,protein,fat,carb,fixed,tags,allergens,author,kind,portion_g,cook_min
p1-01,porcia,Лапша с курицей и овощами в арахисовом соусе,"lunch,dinner",565,49,16,57,0,"курица,лапша,овощи,арахис,высокобелковое","арахис,глютен,соя",Алёна,base,,30
p1-02,porcia,Рыбные котлеты с кускусом и огуречным соусом,"lunch,dinner",530,46,13,55,1,"рыба,крупа,огурец,йогурт,высокобелковое","рыба,яйцо,глютен,молоко",Алёна,base,,40
p1-03,porcia,Чили с говядиной фасолью и кукурузой,"lunch,dinner",600,42,19,57,0,"говядина,бобовые,кукуруза,томаты,хлеб,высокобелковое",глютен,Алёна,base,,45
p1-04,porcia,Свиная вырезка с яблоками и булгуром,"lunch,dinner",555,45,14,59,0,"свинина,крупа,фрукты,сметана,высокобелковое","глютен,молоко",Алёна,base,,35
p1-05,porcia,Говяжьи тефтели с картофельным пюре и овощным салатом,"lunch,dinner",605,40,25,52,0,"говядина,картофель,молочное,овощи,среднебелковое","глютен,молоко",Алёна,base,,45
p1-06,porcia,Чечевичное карри с рисом яйцом и йогуртом,"lunch,dinner",560,33,14,73,0,"бобовые,рис,крупа,яйца,йогурт,шпинат,вегетарианское,среднебелковое","яйцо,молоко",Алёна,base,,40
p1-07,porcia,Испанская картофельная тортилья с горошком и фетой,"breakfast,lunch,dinner",590,34,25,52,1,"картофель,яйца,сыр,молочное,горошек,вегетарианское,среднебелковое","яйцо,молоко",Алёна,base,,45
p1-08,porcia,Индейка с грибами в сметане и гречкой,"lunch,dinner",550,53,16,48,0,"индейка,грибы,гречка,крупа,сметана,молочное,высокобелковое",молоко,Алёна,base,,40
p1-09,porcia,Куриная печень с яблоками пюре и капустным салатом,"lunch,dinner",575,41,19,58,0,"печень,субпродукты,картофель,фрукты,капуста,молочное,высокобелковое",молоко,Алёна,base,,40
p1-10,porcia,Печёный картофель с тунцом кукурузой и сыром,"lunch,dinner",545,49,11,58,0,"рыба,консервы,картофель,кукуруза,сыр,молочное,высокобелковое","рыба,молоко",Алёна,base,,65
p1-11,porcia,Шаверма с курицей,"breakfast,lunch,dinner",330,31,8,33,1,"курица,лепёшка,овощи,йогурт,быстро,высокобелковое","глютен,молоко",Алёна,base,,20
p1-12,porcia,Картофельная запеканка с курицей и овощами,"lunch,dinner",385,36,13,30,0,"курица,картофель,овощи,сыр,молочное,высокобелковое","яйцо,молоко",Алёна,base,,65
p1-13,porcia,Шоколадные сырники с ягодами и ванильным кремом,breakfast,440,38,20,32,1,"творог,молочное,ягоды,шоколад,без сахара,высокобелковое,десерт,сладкое","молоко,яйцо",Алёна,base,,40
p1-14,porcia,Ванильные сырники в аэрогриле с вишнёвым соусом,breakfast,390,37,14,31,1,"творог,молочное,ягоды,без сахара,высокобелковое,десерт,сладкое","молоко,яйцо",Алёна,base,,45
p1-15,porcia,Паста со слабосолёной красной рыбой и шпинатом,"lunch,dinner",503,32,22,44,0,"рыба,красная рыба,паста,шпинат,сыр,молочное,среднебелковое","рыба,глютен,молоко",Алёна,base,,25
p1-16,porcia,Творожная запеканка с ягодами и ванильным йогуртом,"breakfast,snack",375,34,16,23,0,"творог,молочное,ягоды,йогурт,без сахара,высокобелковое,десерт,сладкое","молоко,яйцо",Алёна,base,,85
p1-17,porcia,Хрустящая тортилья с курицей сыром и зеленью,"breakfast,lunch,dinner",410,31,18,29,1,"курица,лепёшка,сыр,молочное,овощи,быстро,высокобелковое","глютен,молоко",Алёна,base,,20
p1-18,porcia,Ленивые вареники с ванильным кремом и тёплой клубникой,"breakfast,snack",443,37,17,32,1,"творог,молочное,ягоды,без сахара,высокобелковое,десерт,сладкое","молоко,яйцо,глютен",Алёна,base,,30
pr-01,products,"Яблоко, 1 крупное (180 г)",snack,88,0.5,0.4,20.2,1,"фрукты,сладкое",,,product,,
pr-02,products,"Банан, 1 шт. (120 г)",snack,107,1.3,0.4,24.0,1,"фрукты,сладкое",,,product,,
pr-03,products,"Груша, 1 крупная (180 г)",snack,85,0.7,0.5,18.5,1,"фрукты,сладкое",,,product,,
pr-04,products,"Апельсин, 1 крупный (200 г)",snack,94,1.8,0.2,20.0,1,"фрукты,сладкое",,,product,,
pr-05,products,"Киви, 2 шт. (140 г)",snack,85,1.5,0.7,16.8,1,"фрукты,сладкое",,,product,,
pr-06,products,"Виноград, 150 г",snack,104,1.1,0.3,24.8,1,"фрукты,сладкое",,,product,,
pr-07,products,"Мандарины, 200 г",snack,76,1.6,0.4,16.2,1,"фрукты,сладкое",,,product,,
pr-08,products,"Чернослив, 60 г",snack,144,1.3,0.2,34.2,1,"сухофрукты,сладкое",,,product,,
pr-09,products,"Миндаль, 30 г",snack,174,6.4,15.0,2.7,1,орехи,орехи,,product,,
pr-10,products,"Грецкий орех, 25 г",snack,164,3.8,16.3,1.8,1,орехи,орехи,,product,,
pr-11,products,"Кешью, 30 г",snack,166,5.5,13.2,8.1,1,орехи,орехи,,product,,
pr-12,products,"Фундук, 25 г",snack,157,3.8,15.3,1.8,1,орехи,орехи,,product,,
pr-13,products,"Микс орехов, 40 г",snack,238,6.9,21.2,5.5,1,орехи,орехи,,product,,
pr-14,products,"Вяленая куриная грудка, 50 г",snack,150,30.0,3.0,1.0,1,"курица,вяленое мясо,высокобелковое",,,product,,
pr-15,products,"Вяленое филе индейки, 50 г",snack,130,28.0,2.0,1.0,1,"индейка,вяленое мясо,высокобелковое",,,product,,
pr-16,products,"Копчёные перепелиные яйца, 5 шт. (60 г)",snack,101,7.8,7.5,0.4,1,"яйца,высокобелковое",яйцо,,product,,
b2-01,porcia,Куриное бедро в соево-чесночном маринаде с томатным салатом и булгуром,"lunch,dinner",657,44.5,31.9,45.8,0,"курица,соя,крупа,томаты,соус,среднебелковое","соя,глютен,молоко,орехи",Алёна,base,,60
b2-02,porcia,"Мюсли с орехом, высокобелковым творожком и вишнёвым соусом","breakfast,snack",433,24.1,16.2,45.6,0,"овсянка,крупа,орехи,творог,молочное,ягоды,без сахара,семена,быстро,вегетарианское,среднебелковое,десерт,сладкое","глютен,молоко,орехи",Алёна,base,,15
b2-03,porcia,"Картофель беби с розмарином, маринованная спаржа и слабосолёная форель","lunch,dinner",481,29.4,20.2,44.2,0,"картофель,спаржа,рыба,красная рыба,среднебелковое",рыба,Алёна,base,,45
b2-04,porcia,"Шакшука с луком, помидорами, фетой и зеленью","breakfast,lunch",466,24.9,23.8,36.3,1,"томаты,перец,яйца,сыр,молочное,хлеб,вегетарианское,среднебелковое","яйцо,молоко,глютен",Алёна,base,,30
b2-05,porcia,"Фруктовый салат с йогуртовой заправкой, орехом и чиа","breakfast,snack",363,13.6,11.0,50.6,0,"фрукты,йогурт,молочное,без сахара,орехи,семена,быстро,вегетарианское,среднебелковое,десерт,сладкое","молоко,орехи",Алёна,base,,12
b2-06,porcia,Гречка с грибами и говяжьим фаршем по-быстрому,"lunch,dinner",505,36.4,19.5,43.2,0,"гречка,крупа,грибы,говядина,высокобелковое",,Алёна,base,,30
b2-07,porcia,"Овощная смесь с рисом, куриным филе и сметанным соусом","lunch,dinner",581,44.8,13.9,66.8,0,"рис,крупа,курица,молочное,высокобелковое",молоко,Алёна,base,,30
b2-08,porcia,"Жареный рис по-арабски с миндалём, изюмом и овощным салатом","lunch,dinner",852,20.4,32.9,117.8,0,"рис,крупа,морковь,бобовые,сухофрукты,орехи,огурец,томаты,вегетарианское,низкобелковое",орехи,Алёна,base,,40
b2-09,porcia,Лобио из консервированной фасоли с грецким орехом,"lunch,dinner",581,25.8,29.1,52.6,0,"бобовые,орехи,томаты,вегетарианское,среднебелковое",орехи,Алёна,base,,30
b2-10,porcia,"Запеканка с тунцом, шпинатом, яйцами, помидором и картофелем","lunch,dinner",473,43.0,18.1,32.5,0,"картофель,рыба,консервы,шпинат,зелень,яйца,томаты,йогурт,молочное,сыр,высокобелковое","рыба,яйцо,молоко",Алёна,base,,70
b2-11,porcia,Запеканка из фарша и картофеля тонкими кружочками,"lunch,dinner",611,44.1,28.2,42.9,0,"картофель,говядина,молочное,яйца,сыр,высокобелковое","яйцо,молоко",Алёна,base,,80
b2-12,porcia,"Салат с помидорами, бурратой и бальзамиком","lunch,dinner,snack",609,23.2,37.6,44.4,0,"томаты,сыр,молочное,хлеб,быстро,вегетарианское,среднебелковое","молоко,глютен",Алёна,base,,10
b2-13,porcia,Лёгкий греческий салат с фетой и маслинами,"lunch,dinner,snack",445,15.5,33.8,19.4,0,"томаты,огурец,перец,оливки,сыр,молочное,быстро,вегетарианское,низкобелковое",молоко,Алёна,base,,10
b2-14,porcia,Лёгкий салат по-грузински с сулугуни и грецким орехом,"lunch,dinner,snack",438,19.9,33.7,13.9,0,"томаты,огурец,сыр,молочное,орехи,быстро,вегетарианское,среднебелковое","молоко,орехи",Алёна,base,,15
b2-15,porcia,"Быстрый вок с гречневой лапшой, курицей, капустой и огурцом","lunch,dinner",516,48.2,12.6,50.5,0,"гречка,лапша,курица,капуста,огурец,соя,кунжут,семена,быстро,высокобелковое","глютен,соя,кунжут",Алёна,base,,20
